datatype,dimension,seed,bitwidth_per_element,mean_worst_case_angular_error_rad,median_worst_case_angular_error_rad,p95_worst_case_angular_error_rad,p99_worst_case_angular_error_rad,max_worst_case_angular_error_rad,mean_worst_case_angular_error_deg,median_worst_case_angular_error_deg,p95_worst_case_angular_error_deg,p99_worst_case_angular_error_deg,max_worst_case_angular_error_deg,wall_time_seconds
optimized_4,4,51,4,0.0383317664032587,0.039097706967292936,0.05696207230162969,0.061826597379788586,0.07115363763521348,2.196248436188087,2.2401335978651185,3.2636863352024283,3.54240309151648,4.076803133500948,246.94832249899628
int4,4,51,4,0.03861649021518581,0.03725155502219232,0.0658520636708027,0.07915675138473753,0.11776725981189547,2.2125619089383872,2.134356883070986,3.7730453205637695,4.535347774311796,6.747566952042243,0.8174786909949034
fp4_e2m1,4,51,4,0.04500274197961073,0.04468219590635838,0.0710185411497017,0.0787662118398608,0.09509617690394617,2.5784671819479104,2.5601012448110594,4.069062675054073,4.512971506657398,5.448609584425571,0.723468138021417
fp4_e1m2,4,51,4,0.041496466724803796,0.04018788930612542,0.06999630754256694,0.08314010139441619,0.11776725981189358,2.3775724080363156,2.302596444779921,4.010493003688817,4.763576918189778,6.747566952042136,2.4126631779945455
fp4_e3m0,4,51,4,0.09485362146776194,0.09561546838035484,0.15770724472525405,0.1688515679590753,0.18639565798238444,5.43471218163426,5.478362794360906,9.03595952139387,9.674482208221415,10.679684521954602,0.6927485970081761
optimized_4,8,51,4,0.058383471432108494,0.05922739665122091,0.07446537856956113,0.0788187477271829,0.08991750294824441,3.345126506382429,3.3934798596622238,4.26655191187978,4.51598159127393,5.1518934232895415,229.728462871979
int4,8,51,4,0.05802122068730951,0.05657238675452167,0.08464670846039087,0.09857765884425795,0.14107810815137573,3.3243710675799765,3.2413589980158926,4.8498991444547155,5.648083806056453,8.083180178764005,1.412207123998087
fp4_e2m1,8,51,4,0.0630673227170052,0.06374641255487204,0.08372546311167173,0.08998115545618397,0.10323196230542274,3.613491416873938,3.6524003984939313,4.797115674077051,5.155540443349901,5.914755750954327,0.9537813019705936
fp4_e1m2,8,51,4,0.061879052701821695,0.06051335250927581,0.08927131054788068,0.10306205738200551,0.1493288786979451,3.545408560081977,3.4671597029688934,5.114869325995271,5.905020915924026,8.555914508813277,1.4399271209840663
fp4_e3m0,8,51,4,0.1239853402607068,0.12698109048733805,0.16892224548646506,0.1771946094938751,0.19034644813939788,7.103836718431945,7.275480562893276,9.678531732247269,10.152503276467792,10.9060481236933,0.8418984839809127
optimized_4,16,51,4,0.07479334186274418,0.07551565135055505,0.0892557263012567,0.0930779084273936,0.10590060717403633,4.28534282441438,4.326728109568199,5.113976414436826,5.332971318794811,6.06765783894513,373.06846676801797
int4,16,51,4,0.07293674086684389,0.07119073545996474,0.10007595434259518,0.11510323852750864,0.167210574077355,4.178967423109508,4.078928682288311,5.733929814574627,6.594929775913858,9.580460184592052,4.6156726570334285
fp4_e2m1,16,51,4,0.07739589999459982,0.07814588858948221,0.09361691262669439,0.09839452246297965,0.11648426566620876,4.434458421307161,4.477429602476868,5.3638539845545745,5.637590864333908,6.674056802354403,1.576964819978457
fp4_e1m2,16,51,4,0.07736763726662604,0.07568957375443314,0.10513427887662034,0.1200704902643771,0.1819269690557652,4.432839086276737,4.336693129273184,6.023750461781748,6.879532336215449,10.423647506502473,1.9421574699808843
fp4_e3m0,16,51,4,0.14486843526828702,0.1477024227236223,0.17676717285940546,0.18279649383073293,0.1917514724054832,8.300349925537013,8.462725445920743,10.128012961303405,10.473467606290187,10.986550084253455,2.657866647001356
optimized_4,32,51,4,0.0867431238354467,0.08748759909793033,0.0984749961737891,0.10225132329342901,0.12152155932334961,4.97001489755175,5.012670188043956,5.642201668325046,5.858569274341207,6.962672469076593,895.0362179090152
int4,32,51,4,0.08463723874085892,0.08277720053616128,0.11159438981175636,0.12708706491572466,0.18985549620262004,4.849356569492362,4.742784230630097,6.393887553551353,7.28155245037614,10.877918649772157,9.723838347010314
fp4_e2m1,32,51,4,0.08822754943242386,0.08886994994223794,0.10092524055263506,0.10516727339776319,0.12400153458598484,5.055066219259729,5.091873057229129,5.782590330008573,6.025640908590288,7.10476458492244,3.573457029007841
fp4_e1m2,32,51,4,0.08939997059524371,0.08759208578186303,0.11689464975670587,0.13218849955949658,0.20005652417433065,5.122241003701126,5.018656834048618,6.697570078719202,7.573843124926095,11.462394499246072,5.438036783016287
fp4_e3m0,32,51,4,0.15982562989052967,0.16199639243313677,0.1824200750211836,0.18670285255396263,0.1939291769824494,9.157334050747288,9.281709582763762,10.451900397173672,10.697285474395361,11.11132336553994,3.3328459080075845
optimized_4,64,51,4,0.09866910803920821,0.09939314077793093,0.10795015059498428,0.11050000484694848,0.12446011415169807,5.653323458966972,5.694807479125083,6.185088026894252,6.331183913905289,7.131039258608749,1654.3721995649976
int4,64,51,4,0.09368484004305794,0.09183612827767776,0.1194641862776233,0.13470209669965605,0.1993950917824592,5.367745938825434,5.2618225571329695,6.8447936766724995,7.717861632453387,11.424497214758595,34.70905683899764
fp4_e2m1,64,51,4,0.09606033407337967,0.09651085264489648,0.10606076100493257,0.11009526978743976,0.1327913278429489,5.503851721021391,5.529664533761567,6.076833977528336,6.307994303174462,7.60838264133903,10.535453145042993
fp4_e1m2,64,51,4,0.0985806426209767,0.09677083845657439,0.12466250112559847,0.13988977693131704,0.21491260323971112,5.6482547638694465,5.544560623503994,7.142635178041667,8.015093815191012,12.31358512980503,11.296684516011737
fp4_e3m0,64,51,4,0.1704815622696887,0.17208589600140978,0.18645815760255882,0.18956159824817748,0.1943532275612853,9.767874002849897,9.85979555460799,10.683265486411765,10.861079537375069,11.135619674007318,10.693943362042774
